ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32
29,3,4,3,4,4,3,4,5,3,4,3,4,4,3,4,4,3,3,4,4,3,4,4,4,3,4,4,5,3,3,2,3
30,5,2,4,4,4,2,4,4,4,5,4,4,4,2,4,2,4,5,4,4,4,4,3,4,2,4,4,4,4,5,2,3
31,4,3,1,5,2,2,5,4,1,3,2,5,2,2,5,4,2,5,2,5,1,2,1,3,2,4,4,4,4,2,2,3
32,4,4,3,4,3,3,2,4,3,3,4,2,2,3,4,2,4,3,3,2,3,5,2,3,3,4,4,4,5,4,2,4
33,3,5,3,3,2,1,3,1,3,3,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,5,1,1,5,5,3,5
34,3,4,4,3,4,5,2,4,4,4,4,3,4,5,3,3,4,4,4,3,4,5,2,3,3,4,4,3,4,5,3,3
35,4,5,4,3,5,5,3,5,5,5,4,5,4,4,4,5,5,4,4,5,5,4,4,5,5,4,4,4,5,5,3,4
36,3,2,4,4,3,1,4,4,4,2,3,2,4,4,4,3,4,2,3,2,3,1,3,4,4,4,4,4,2,5,2,2
37,4,3,3,5,4,2,4,5,4,1,2,4,4,1,4,5,4,4,2,4,3,1,4,4,2,2,2,5,2,1,5,4
38,2,3,2,5,3,4,4,4,3,3,2,4,3,4,4,3,4,3,3,4,3,4,4,3,3,3,3,4,5,2,4,3
39,2,4,2,4,3,2,4,2,2,2,3,2,2,2,4,2,2,4,2,2,2,2,2,1,2,4,3,3,2,2,3,2
40,3,4,3,4,5,4,4,4,3,3,3,5,4,4,4,3,3,3,3,4,4,4,3,4,3,3,3,4,4,4,2,3
41,4,5,3,2,4,5,4,5,4,5,2,5,4,4,4,4,5,5,2,4,4,5,3,5,4,3,2,4,4,5,2,4
42,4,4,3,4,3,4,3,3,3,2,2,3,3,4,2,2,4,3,2,4,3,4,2,3,4,2,3,4,3,4,2,2
43,2,3,1,4,2,1,3,2,3,4,3,2,2,1,3,1,3,4,1,4,1,1,3,1,3,2,1,5,3,1,1,1
44,4,3,3,5,4,2,1,3,4,3,3,4,3,3,3,3,4,3,3,5,3,3,1,1,4,3,3,5,4,3,1,1
45,3,3,2,5,4,1,3,4,2,4,2,4,4,2,4,2,4,4,4,5,4,4,2,3,3,4,2,5,4,4,2,2
46,4,4,4,4,3,1,3,4,3,2,4,4,3,5,2,2,4,4,4,4,3,5,2,3,4,3,4,4,5,5,2,2
47,3,3,3,2,3,4,4,3,4,3,2,2,4,3,4,2,3,3,3,2,3,4,2,3,4,3,2,2,3,4,4,2
48,5,5,5,3,3,4,2,4,4,4,5,2,3,4,2,3,5,5,5,3,3,2,2,4,1,3,4,3,2,2,2,5
49,2,3,2,2,3,2,4,2,2,2,1,2,4,2,4,1,2,4,3,2,2,2,2,2,2,4,2,2,4,2,2,1
50,4,4,4,4,5,5,5,4,4,4,4,5,5,2,4,3,5,4,3,4,4,4,3,3,4,5,4,4,5,5,1,4
51,2,2,2,1,2,4,2,2,1,2,4,3,2,4,2,2,2,2,2,2,2,2,4,2,2,2,4,2,4,3,2,2
52,3,4,3,5,3,4,2,4,3,4,4,4,3,4,4,3,3,4,4,5,2,4,4,3,2,2,4,4,4,4,4,2
53,4,4,5,2,2,2,2,5,4,4,4,4,2,2,3,4,4,5,5,2,4,2,3,4,4,5,5,4,4,2,4,3
54,5,4,4,5,4,5,2,5,5,4,5,5,5,4,4,5,5,4,5,5,5,4,2,5,5,5,5,5,4,4,2,5
55,4,4,4,4,5,5,4,5,5,3,4,5,5,5,5,5,5,3,3,5,5,5,5,5,5,4,3,4,5,5,4,5
56,4,3,4,,5,5,3,5,4,4,3,5,5,2,2,5,3,2,2,4,4,3,3,4,3,3,3,4,4,4,3,5
57,2,4,3,5,5,1,4,4,5,4,2,4,4,4,4,3,4,2,2,4,4,2,2,3,5,4,4,4,4,5,4,2
58,4,3,2,4,2,2,1,4,4,3,2,2,3,2,2,1,4,2,2,2,3,3,2,2,3,4,2,3,1,3,2,2
59,4,5,4,4,4,5,2,4,3,4,4,2,4,2,2,4,4,4,4,2,2,2,2,4,3,5,4,4,4,4,2,3
60,4,3,4,5,4,2,4,4,4,3,4,4,5,4,4,3,4,3,3,5,4,4,3,4,4,3,4,5,5,5,2,4
61,3,5,3,2,5,2,3,4,4,5,4,3,4,4,4,3,4,5,3,3,3,5,2,3,3,4,2,3,3,4,3,3
62,4,3,2,4,3,2,4,4,2,3,2,2,4,2,2,3,2,3,2,2,3,2,2,3,2,3,2,3,4,2,3,1
63,3,4,4,4,3,4,3,2,4,3,4,4,4,4,2,4,,4,4,4,3,4,2,3,,4,2,4,4,4,2,2
64,4,2,,4,2,2,4,4,2,2,2,2,4,4,4,3,2,2,2,4,2,4,4,3,2,2,2,2,1,2,2,2
65,1,5,4,4,5,5,3,5,5,5,4,4,5,5,3,5,5,5,4,4,4,5,3,4,3,5,4,4,4,5,3,3
66,3,5,5,5,5,5,3,5,3,5,5,5,5,5,4,4,4,5,5,4,4,4,4,4,4,5,3,5,5,4,4,4
67,4,3,3,4,2,4,3,4,4,3,2,4,3,4,2,4,3,2,2,4,2,4,3,4,4,2,3,4,4,3,4,4
68,4,5,3,2,4,4,4,5,3,4,3,3,5,2,4,3,4,4,2,2,4,5,4,4,3,1,3,4,4,4,4,5
69,4,3,3,5,4,2,4,4,4,2,2,4,3,3,2,2,4,3,2,2,2,4,2,3,4,4,3,4,4,2,2,3
70,4,5,3,5,5,5,5,4,2,4,4,5,5,5,5,4,4,4,2,5,5,4,5,4,2,4,3,5,4,4,1,3
71,4,4,2,4,3,3,4,3,3,4,2,2,4,3,4,4,3,4,2,3,3,4,2,3,3,4,2,4,4,3,2,3
72,5,5,4,5,5,5,4,5,4,5,3,5,5,5,4,5,5,4,3,5,5,5,4,5,4,4,3,5,5,5,4,5
73,3,2,2,2,2,2,4,2,2,2,2,2,2,2,4,1,2,2,2,1,2,4,2,1,2,2,1,2,2,4,4,2
74,2,4,3,4,4,5,4,4,2,4,3,4,4,2,3,3,2,4,3,4,3,2,4,3,2,4,3,4,4,2,1,3
75,4,4,3,4,4,3,3,4,4,4,4,4,4,2,3,3,4,4,4,4,4,3,2,3,4,4,4,4,4,3,2,4
76,4,3,3,4,4,1,4,2,2,2,2,4,4,4,2,2,2,2,2,4,4,4,1,2,4,4,2,4,4,5,1,2
77,4,3,2,5,4,4,4,2,2,3,2,5,3,2,4,1,2,4,2,5,3,5,4,2,2,4,3,5,4,4,2,1
78,4,4,4,5,4,5,4,2,2,4,3,2,4,3,3,2,4,5,4,5,4,1,2,2,4,4,2,4,3,5,3,2
79,4,4,4,4,5,4,3,4,4,4,5,1,5,4,3,4,5,5,4,4,4,4,4,4,4,5,4,5,5,4,3,4
80,5,4,4,5,5,5,3,4,4,4,4,5,5,4,3,4,5,4,4,4,4,5,3,3,4,4,4,4,5,5,1,4
